Model,MPG,Cylinders (categorical),Displacement,Horsepower,Weight,Acceleration,Year,Origin (categorical),Origin Label,Null Trap,Segment,Segment8,Grade (categorical),Grade Label,Fleet,Region,Emptyish,Log Spaced,Long Label,Long Number,Long Code (categorical)
pontiac j2000 se hatchback,31.0,4.0,112.0,85.0,2575.0,16.2,82.0,1.0,USA,A,Seg07,SegC,5,5,FleetA,North,,398.10717055349693,Pacific Rim Logistics and Supply Chain Gamma,-30000000,0.000000123456789
dodge aries se,29.0,4.0,135.0,84.0,2525.0,16.0,82.0,1.0,USA,B,Seg08,SegD,9,9,FleetA,south,none,411.92183625888259,Central Plains Research Laboratory Delta,-0.0000001234,5550000000000000
pontiac phoenix,27.0,4.0,151.0,90.0,2735.0,18.0,82.0,1.0,USA,C,Seg09,SegE,1,1,FleetA,EAST,ok,426.2158829015325,Atlantic Coastal Engineering Station Epsilon,0,1000000000000000000
ford fairmont futura,24.0,4.0,140.0,92.0,2865.0,16.4,82.0,1.0,USA,A,Seg10,SegF,2,2,FleetA,North,,441.00594541767413,Mountain West Quality Assurance Facility Zeta,1,0.30000000000000004
amc concord dl,23.0,4.0,151.0,NaN,3035.0,20.5,82.0,1.0,USA,B,Seg11,SegG,5,5,FleetA,south,none,456.3092359903157,Great Lakes Production Operations Eta,-1,1234567890
,36.0,4.0,105.0,74.0,1980.0,15.3,82.0,2.0,Europe,C,Seg12,SegH,9,9,FleetA,EAST,ok,472.14356408021644,Gulf Coast Materials Testing Institute Theta,0.9999999999999999,0.000000000000001
mazda glc custom l,37.0,4.0,91.0,68.0,2025.0,18.2,82.0,3.0,Japan,A,Seg01,SegA,1,1,FleetA,North,,488.52735715193916,North American Manufacturing Division Alpha,1000000000.0000001,12345678901234.5
mazda glc custom,31.0,4.0,91.0,68.0,1970.0,17.6,82.0,3.0,Japan,B,Seg02,SegB,2,2,FleetA,south,none,505.47968211912456,Southwestern European Distribution Center Beta,0.000000000000001,30000000
plymouth horizon miser,38.0,4.0,105.0,63.0,2125.0,14.7,82.0,1.0,USA,C,Seg03,SegC,5,5,FleetA,EAST,ok,523.02026753392943,Pacific Rim Logistics and Supply Chain Gamma,1000000000000000000,0.000000123456789
mercury lynx l,36.0,NaN,98.0,70.0,2125.0,17.3,82.0,1.0,USA,A,Seg04,SegD,9,9,FleetA,North,,541.16952654646377,Central Plains Research Laboratory Delta,5550000000000000,5550000000000000
nissan stanza xe,36.0,4.0,120.0,88.0,2160.0,14.5,82.0,3.0,Japan,B,Seg05,SegE,1,1,FleetA,south,none,559.94858066093013,Atlantic Coastal Engineering Station Epsilon,1234567890123456,1000000000000000000
honda accord,36.0,4.0,107.0,75.0,2205.0,14.5,82.0,3.0,Japan,C,Seg06,SegF,2,2,FleetA,EAST,ok,579.37928431613091,Mountain West Quality Assurance Facility Zeta,100000000000,0.30000000000000004
toyota corolla,34.0,4.0,108.0,70.0,2245.0,16.9,82.0,3.0,Japan,A,Seg07,SegG,5,5,FleetA,North,,599.48425031894089,Great Lakes Production Operations Eta,30000000,1234567890
honda civic,38.0,4.0,91.0,67.0,1965.0,15.0,82.0,3.0,,B,Seg08,SegH,9,9,FleetA,south,none,620.28687616033358,Gulf Coast Materials Testing Institute Theta,1234567890,0.000000000000001
honda civic (auto),32.0,4.0,91.0,67.0,1965.0,15.7,82.0,3.0,Japan,C,Seg09,SegA,1,1,FleetA,EAST,ok,641.81137124460622,North American Manufacturing Division Alpha,12345678901234.5,12345678901234.5
datsun 310 gx,38.0,4.0,91.0,67.0,1995.0,16.2,82.0,3.0,Japan,A,Seg10,SegB,2,2,FleetA,North,,664.08278506348381,Southwestern European Distribution Center Beta,0.0000001,30000000
buick century limited,25.0,6.0,181.0,110.0,2945.0,16.4,82.0,1.0,USA,B,Seg11,SegC,5,5,FleetA,south,none,687.12703634787681,Pacific Rim Logistics and Supply Chain Gamma,0.0000001234567890123456,0.000000123456789
oldsmobile cutlass ciera (diesel),38.0,6.0,262.0,85.0,3015.0,17.0,82.0,1.0,USA,C,Seg12,SegD,9,9,FleetA,EAST,ok,710.97094323124384,Central Plains Research Laboratory Delta,0.30000000000000004,5550000000000000
chrysler lebaron medallion,26.0,4.0,156.0,92.0,2585.0,14.5,82.0,1.0,USA,A,Seg01,SegE,1,1,FleetA,North,,735.64225445964064,Atlantic Coastal Engineering Station Epsilon,3.141592653589793,1000000000000000000
ford granada l,22.0,6.0,232.0,112.0,2835.0,14.7,82.0,1.0,USA,B,Seg02,SegF,2,2,FleetA,south,none,761.16968168479411,Mountain West Quality Assurance Facility Zeta,2.718281828459045,0.30000000000000004
toyota celica gt,32.0,4.0,144.0,96.0,2665.0,13.9,82.0,3.0,Japan,C,Seg03,SegG,5,5,FleetA,EAST,ok,787.58293287775962,Great Lakes Production Operations Eta,1.4142135623730951,1234567890
dodge charger 2.2,36.0,4.0,135.0,84.0,2370.0,13.0,82.0,1.0,USA,A,Seg04,SegH,9,9,FleetA,North,,814.9127469020749,Gulf Coast Materials Testing Institute Theta,0.1,0.000000000000001
chevrolet camaro,27.0,4.0,151.0,90.0,2950.0,17.3,82.0,1.0,USA,B,Seg05,SegA,1,1,FleetA,south,none,843.19092928662508,North American Manufacturing Division Alpha,0.01,12345678901234.5
ford mustang gl,27.0,4.0,140.0,86.0,2790.0,15.6,82.0,1.0,USA,C,Seg06,SegB,2,2,FleetA,EAST,ok,872.45038923986624,Southwestern European Distribution Center Beta,0.001,30000000
vw pickup,44.0,4.0,97.0,52.0,2130.0,24.6,82.0,2.0,Europe,,Seg07,SegC,5,5,FleetA,North,,902.72517794845783,Pacific Rim Logistics and Supply Chain Gamma,0.000000000001,0.000000123456789
,32.0,4.0,135.0,84.0,2295.0,11.6,82.0,1.0,USA,B,Seg08,SegD,9,9,FleetA,south,none,934.0505282049063,Central Plains Research Laboratory Delta,1000000000000,5550000000000000
ford ranger,28.0,4.0,120.0,79.0,2625.0,18.6,82.0,1.0,USA,C,Seg09,SegE,1,1,FleetA,EAST,ok,966.4628954103257,Atlantic Coastal Engineering Station Epsilon,999,1000000000000000000
chevy s-10,31.0,4.0,119.0,82.0,2720.0,19.4,82.0,1.0,USA,null,Seg10,SegF,2,2,FleetA,North,,1000,Mountain West Quality Assurance Facility Zeta,1000,0.30000000000000004
